% Device,11E101660
% File name,11E101660_20110922_130712
% Cast time (UTC),2011-09-22 13:07:12
% Cast time (local),2011-09-22 10:07:12
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-22.9287626
% Start longitude,-43.1438954
% Start altitude,-3.4000000953674316
% Start GPS horizontal error(Meter),2,90000009536743
% Start GPS vertical error(Meter),10,539999961853
% Start GPS number of satellites,9
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),242.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-06-02
% Temperature calibration date,2011-06-02
% Pressure calibration date,2011-06-01
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
20.55,20.475009731577323,17.674141119477969,46117.30565767231,54034.251712945144,35.462147510316122,1515.7009624882903,1025.7975899798328
20.85,20.773797826075569,17.6760559825401,46116.27917242793,54030.624562981313,35.4594746683255,1515.7085329316813,1025.7963907110398
21.150000000000002,21.072585499042894,17.675543271893808,46120.493681844324,54036.211546273822,35.463441466009257,1515.7165330473713,1025.8008753293389
21.45,21.37137238169111,17.669193366067105,46111.86820228678,54034.145673535837,35.461433950197296,1515.70055223616,1025.8022083206004
21.75,21.670158683257917,17.661499547653527,46103.979498848741,54034.644805851131,35.461235140752237,1515.682676143902,1025.8052562512062
22.05,21.968944388776617,17.657250273570398,46098.416085640572,54033.506367617716,35.460032739658644,1515.6737874266141,1025.8066920213573
22.35,22.267730352084357,17.657298717237317,46092.36664043412,54026.354254129939,35.454656610007213,1515.6727854796407,1025.8038770730698
22.650000000000002,22.56651628555527,17.656031120077422,46093.912140361019,54029.771324254136,35.45698174312831,1515.6766920460532,1025.807287830361
22.95,22.865300753094193,17.650110244750977,46094.521484375,54037.98632624629,35.462564697974528,1515.6706187312027,1025.8143339253581
23.25,23.164084268869118,17.647432902337474,46088.780179882247,54034.647625128404,35.459834932532722,1515.6646112143355,1025.8142141334427
23.55,23.462867523849265,17.651071627943892,46095.430094270938,54037.833441059884,35.462277998026074,1515.6830923019784,1025.8165156457542
23.85,23.761650373615634,17.654347847270444,46099.4179729022,54038.357517464909,35.462740791070324,1515.6982474107349,1025.8173875295258
24.150000000000002,24.060433258322032,17.6565271424922,46099.481157266229,54035.670793443867,35.460776104257342,1515.7074059045351,1025.816666657194
24.45,24.359216542918425,17.660829511019969,46101.098382639073,54032.1167111043,35.458297626035829,1515.7222254386709,1025.8150325536722
24.75,24.658000147883687,17.662891283521436,46101.824580171371,54030.356585300426,35.457007910816166,1515.7318069263015,1025.8148577273073
25.05,24.956783328524594,17.661370793367482,46103.124577166906,54033.805899568644,35.459341997305181,1515.7349800287145,1025.8183371774867
25.35,25.255566688173889,17.662719709396718,46096.599434615026,54024.450092034305,35.452420494884407,1515.7360427563117,1025.814019471226
25.650000000000002,25.554349208051065,17.650432156605632,46093.593522650008,54036.490595689196,35.460444967269673,1515.7140185163025,1025.8244945947397
25.95,25.853130179887579,17.649157987354329,46090.797872587515,54034.827470982716,35.45903083234915,1515.71364120866,1025.8250403301818
26.25,26.151911495295607,17.649403279841984,46085.476341775669,54028.278003549145,35.454110056072174,1515.7137374580736,1025.8225263049833
26.55,26.45069265743577,17.649223219574367,46089.351468521229,54033.0491264,35.457495344093651,1515.7220532380441,1025.8264837188731
26.85,26.749473480104246,17.653671595845051,46091.772950060622,54030.252526432545,35.455583355223339,1515.7379510018145,1025.8252483033198
27.150000000000002,27.048254222690836,17.650243054325841,46088.464699076372,54030.717527648187,35.455608847418674,1515.7328747436118,1025.8274245554965
27.45,27.347034039249181,17.642575074596046,46082.92143365927,54033.933636799506,35.4574094184159,1515.717341915165,1025.8319981008722
27.75,27.645812693094314,17.644436102834316,46089.381614024242,54039.150034582075,35.461242433571684,1515.7321769392488,1025.8357996717523
28.05,27.944590518074076,17.646519850260738,46093.8514045004,54041.750143204925,35.4631632033792,1515.7454865622967,1025.8380807695933
28.35,28.243368816779959,17.648842405078771,46087.426384100036,54031.274690132959,35.455475442941278,1515.7485418906708,1025.832937574982
28.65,28.542147653506429,17.642588687570697,46079.7046914216,54030.144639005855,35.4541607332712,1515.7336190105025,1025.8347771565964
28.95,28.840925663474749,17.635084662390973,46073.867558987964,54032.808805033739,35.455564136422971,1515.7181111731911,1025.8390057810425
29.25,29.139702798929932,17.627099734467826,46064.25159306961,54031.651085826205,35.454126215194165,1515.6979421554293,1025.8411733146058
29.55,29.438480541847824,17.619358558975946,46042.711165410205,54016.194426878908,35.442180620205463,1515.6665010088996,1025.8352253070386
29.85,29.737256817420771,17.593056701740654,46029.330029931851,54033.8421262576,35.453495029348467,1515.6068846248484,1025.8516405804746
30.15,30.03602951241762,17.582459450191514,46025.772666237026,54043.112188098414,35.459571939797193,1515.5875597230597,1025.8602042956836
30.45,30.334800751624186,17.576112980167316,46017.909361642713,54041.933540385246,35.458212261282661,1515.572278498878,1025.8620287011588
30.75,30.633571681715512,17.573182567839957,46013.048690444251,54039.944767017245,35.456459309123574,1515.5666208361042,1025.8627180026645
31.05,30.932341887518415,17.565643734958098,46007.8444939427,54043.402679891355,35.458439639206659,1515.5516284835956,1025.8673935385384
31.35,31.231110812520498,17.558072443283166,46002.347600842928,54046.5591600159,35.46019567051939,1515.5362801662557,1025.87190461732
31.65,31.529879053641288,17.557008214265416,45999.893021315569,54045.02683754926,35.458889307057333,1515.536634167664,1025.8724809350654
31.950000000000003,31.828646453588981,17.559319656041197,46009.663275599713,54053.569990596348,35.465197306340293,1515.55563751613,1025.8780722520764
32.25,32.127412830628288,17.558275892809473,46009.119884575848,54054.257273553485,35.465525253054487,1515.5579170934745,1025.8798966386935
32.55,32.42617919986629,17.560459330629254,46008.195420858596,54050.398121230013,35.46270040020584,1515.5661204006069,1025.8785167647782
32.85,32.724945645839426,17.561386712703836,46009.496370964014,54050.748723879078,35.462898108291171,1515.5740669809075,1025.8797605987656
33.15,33.023711702738126,17.561873971215753,46011.057964966494,54051.964436626309,35.463706116404111,1515.5814114780415,1025.8815796683368
33.45,33.322477810046649,17.564605492791735,46010.294437870274,54047.598826755318,35.460541263667,1515.5908432815068,1025.879805345844
33.75,33.621243877425584,17.558288287257952,46003.401844863867,54047.523639052692,35.4599940520181,1515.5765660192537,1025.8822448223245
34.05,33.92000884681422,17.551333989522352,46000.236195206264,54052.6369943339,35.463225893974567,1515.5647181992854,1025.8877367770251
